date,ticker,prediction,current_price,predicted_price,news
2025-09-16 16:35:46,BAJAJ-AUTO.NS,DOWN,9072.5,8987.16,Markets hold steady as investors await Fed decision
2025-09-16 16:35:30,TCS.NS,UP,3145.7,3160.64,"Jaguar Land Rover supply chain workers must get Covid-style support, says union"
2025-09-16 16:35:32,INFY.NS,UP,1511.3,1521.24,"20,783 Shares in American Noble Gas Inc. $INFY Purchased by Modern Wealth Management LLC"
2025-09-16 16:35:53,ADANIPORTS.NS,DOWN,1408.2,1399.48,No news found
2025-09-16 16:35:42,SBIN.NS,UP,831.55,838.56,Nova-compute start but cannot discover_host
2025-09-16 16:35:39,ICICIBANK.NS,UP,1421.6,1425.61,No news found
2025-09-16 16:35:27,RELIANCE.NS,UP,1405.3,1408.52,XRP Tundra Details Dual-Token Model With On-Ledger Staking Up to 25% APY
2025-09-17 17:19:01,BAJAJ-AUTO.NS,DOWN,9084.0,9061.18,"GST2.0 effect: M&M, Hyundai, TVS & Ashok Leyland best placed this festive season, says Nomura"
2025-09-17 17:18:46,RELIANCE.NS,DOWN,1413.8,1404.88,Hyperliquid Turns Up The HYPE —And The Heat On Circle’s USDC
2025-09-17 17:18:38,MSFT,DOWN,509.04,503.18,Jones Financial Companies Lllp Grows Stock Position in Microsoft Corporation $MSFT
2025-09-17 17:18:57,SBIN.NS,DOWN,857.15,851.4,The idea of /usr/sbin has failed in practice
2025-09-17 17:18:48,TCS.NS,DOWN,3172.8,3167.69,JLR stuck in neutral as losses skyrocket amid cyberattack cleanup
2025-09-17 17:18:50,INFY.NS,DOWN,1522.4,1519.47,"20,783 Shares in American Noble Gas Inc. $INFY Purchased by Modern Wealth Management LLC"
2025-09-17 17:19:07,ADANIPORTS.NS,DOWN,1406.1,1403.4,No news found
